# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1299at4891	Fragmented	h2tg000004l_path	933554	935299	+	886.7	514	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	h2tg000014l_path	220193	216691	-	302.0	820	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	h2tg000015l_path	261278	258246	-	752.1	606	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	h2tg000004l_path	334829	331497	-	483.5	475	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	h2tg000004l_path	661959	665657	+	1116.1	874	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	h2tg000016l_path	315015	319257	+	1323.6	812	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	h2tg000011l_path	903006	907604	+	1815.1	1138	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	h2tg000009l_path	872982	876678	+	812.1	612	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	h2tg000008l_path	853682	857710	+	844.5	646	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	h2tg000014l_path	213418	216504	+	922.5	640	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Complete	h2tg000009l_path	158197	153279	-	1282.9	832	https://www.orthodb.org/v10?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	h2tg000007l_path	269522	266277	-	514.2	534	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	h2tg000004l_path	671902	675054	+	1594.3	864	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	h2tg000013l_path	107158	110967	+	717.3	662	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	h2tg000006l_path	373119	368751	-	686.2	893	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	h2tg000016l_path	133399	130618	-	699.1	656	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	h2tg000004l_path	485550	488975	+	1151.7	743	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Complete	h2tg000005l_path	261503	264952	+	1451.8	822	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Complete	h2tg000001l_path	687036	690390	+	1105.7	732	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	h2tg000002l_path	136869	133759	-	1134.9	710	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	h2tg000010l_path	76574	71670	-	789.0	966	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	h2tg000013l_path	1135814	1140348	+	1221.7	717	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	h2tg000011l_path	246965	250231	+	1380.6	823	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	h2tg000013l_path	593892	596396	+	838.6	562	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	h2tg000007l_path	592958	596404	+	270.3	536	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	h2tg000004l_path	250883	252932	+	667.9	493	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	h2tg000008l_path	817388	814817	-	993.7	716	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Fragmented	h2tg000013l_path	1327685	1325407	-	560.0	528	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Missing
1699at4891	Complete	h2tg000004l_path	190842	187993	-	1190.0	678	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Complete	h2tg000008l_path	80263	77363	-	823.7	648	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	h2tg000008l_path	682489	684811	+	1004.4	592	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
